Category,Principle,Originator/Proponent,Description
General Design & UX,Dieter Rams’ 10 Principles of Good Design,Dieter Rams (Braun),"Iconic minimalist principles such as “Good design is as little design as possible.”"
General Design & UX,The Design of Everyday Things,Don Norman,"Emphasizes user-centered design and affordances; key to modern UX thinking."
General Design & UX,Jakob’s Law,Jakob Nielsen,"Users prefer your site to work the same way as others they already know."
General Design & UX,Hick’s Law,William Edmund Hick,"Time to make a decision increases with the number of choices."
General Design & UX,Fitts’s Law,Paul Fitts,"Predicts the time required to rapidly move to a target area."
General Design & UX,Pareto Principle (80/20 Rule),Vilfredo Pareto,"80% of effects come from 20% of causes; focus on the vital few."
General Design & UX,Occam’s Razor,William of Ockham,"Simpler solutions are more likely to be correct than complex ones."
General Design & UX,KISS (Keep It Simple, Stupid),U.S. Navy (1960),"Simplicity should be a key goal in design."
General Design & UX,Law of Proximity,Gestalt Psychology,"Objects close to each other are perceived as a group."
General Design & UX,Miller’s Law,George A. Miller,"The average person can hold 7±2 items in working memory."
General Design & UX,Tesler’s Law,Larry Tesler,"Every application has an inherent amount of complexity that cannot be reduced."
General Design & UX,Aesthetic-Usability Effect,Nielsen Norman Group,"Users perceive aesthetically pleasing design as more usable."
Graphic & Visual Design,Grid System,Josef Müller-Brockmann,"Structured layout system for clear, effective visual communication."
Graphic & Visual Design,Form Follows Function,Louis Sullivan (Architect),"The shape of a building or object should relate to its intended function."
Graphic & Visual Design,CRAP (Contrast, Repetition, Alignment, Proximity),Robin Williams,"Core principles for effective visual design."
Graphic & Visual Design,Golden Ratio / Rule of Thirds,Ancient Greeks,"Classical proportions for visual harmony and balance."
Cognitive & Behavioral Design,Nudge Theory,Richard Thaler & Cass Sunstein,"Subtle changes in design can influence behavior and decisions."
Cognitive & Behavioral Design,Peak-End Rule,Daniel Kahneman,"People judge experiences based on how they felt at the peak and end."
Cognitive & Behavioral Design,Zeigarnik Effect,Bluma Zeigarnik,"People remember uncompleted or interrupted tasks better than completed ones."
Digital/Product Design,Material Design Principles,Google,"Guidelines for creating intuitive and responsive UIs."
Digital/Product Design,Apple’s Human Interface Guidelines,Apple,"Design principles emphasizing clarity, deference, and depth."
Digital/Product Design,Atomic Design,Brad Frost,"Design systems approach that builds interfaces from small reusable components."
